类别,组件,数量,固件接口或依赖,公开证据状态,关键边界
主控,ESP32 开发板,1,esp32dev,源码映射,具体板型和Flash规格待实物复核
环境传感,DHT11,1,GPIO4,源码映射,温湿度读数与精度未按当前提交复测
模拟传感,GUVA-S12SD或兼容UV模块,1,GPIO34,源码映射,仅模块输出映射估算，非安全/健康剂量
人体感应,PIR模块,1,GPIO5,源码映射,供电/电平/真实触发行为待复核
显示,SSD1306 OLED,1,I2C GPIO21/GPIO22,源码映射,I2C地址和电压域待复核
RFID,RC522模块,1,SPI GPIO18/19/23 + SS GPIO2 + RST GPIO15,源码映射,UID可复制，GPIO2/15启动电平与接线待复核
灯带,WS2812B或兼容低压灯带,1,GPIO27,源码映射,需外部合规低压供电、限流/电平与公共地
风扇,直流风扇及驱动,1,GPIO26/GPIO33,源码映射,不得由ESP32 3.3V直接供电，极性和驱动待复核
加湿器,低压加湿模块及驱动,1,GPIO25,源码映射,不得由ESP32 GPIO直接供电，驱动和供电待复核
舵机,低压舵机,1,GPIO14,源码映射,仅软件命令，无位置反馈；需独立供电和公共地
供电,合规低压电源与连接/保护,按实物,全部模块,待补实物资料,禁止从源码推断电流/电压/安全性
